NAME,MSINI,A,ECC,MSTAR,MASS
,mjupiter,au,,msun,mjupiter
Kepler-107 d,,0.0780099,,,0.00371234
Kepler-1049 b,,0.0344721,0,0.51,0.00245309
Kepler-813 b,,0.13761,0,0.95,0.0159697
Kepler-427 b,0.310432,0.091351,0,0.96,0.29
Kepler-1056 b,,0.185149,0,1.12,0.0271261
Kepler-1165 b,,0.0912977,0,1.13,0.0115843
Kepler-1104 b,,0.0627651,0,1.3,0.00609283
WASP-14 b,7.65457,0.0367693,0.091,1.31,7.69234
Kepler-50 b,,0.0825598,,1.23,0.0164915
NN Ser d,0.642621,3.70596,0.05,,0.642621
WASP-105 b,1.75919,0.0745473,0,0.89,1.75922
GJ 625 b,0.0089295,0.0783624,0.13,0.3,0.0089295
Kepler-1279 b,,0.170989,0,1.21,0.0129028
Kepler-1599 b,,0.48075,0,0.99,0.0120821
Kepler-20 b,0.0266149,0.0453704,0,0.912,0.0266646
HAT-P-27 b,0.615135,0.0399488,0,0.92,0.617485
Kepler-181 b,,0.0419466,,,0.00674351
HD 116029 b,1.9075,1.64869,0,1.33,1.9075
Kepler-207 b,,0.0269045,,,0.0117295
Kepler-1156 b,,0.101981,0,1,0.00774372
Kepler-1512 b,,0.13139,0,0.73,0.00518721
Kepler-787 b,,0.0161327,0,0.65,0.00688654
Kepler-528 b,,0.143629,0,1.01,0.0154788
HD 219828 b,0.0622185,0.0515012,0,1.24,0.0622185
Kepler-480 b,,0.0609811,0,1.25,0.0233514
Kepler-1567 b,,0.5527,0,0.95,0.0227057
HD 3167 b,0.0157857,0.0181491,0,0.866,0.015891
Kepler-1390 b,,0.0675681,0,0.98,0.00518721
Kepler-1642 b,,0.0994208,0,0.88,0.0304768
Kepler-11 c,,0.106909,0.0256125,0.961,0.00912437
Kepler-871 b,,0.159318,0,1.11,0.0437521
Kepler-1131 b,,0.0458416,0,1.03,0.0118667
Kepler-705 b,,0.231978,0,0.53,0.0156727
HD 1237 b,3.3748,0.494668,0.511,0.9,3.3748
WASP-21 b,0.300201,0.0521087,0,1.01,0.300272
Kepler-284 c,,0.219317,,,0.0210192
Kepler-186 c,,0.0574114,0.03,0.478,0.00636705
HD 4308 b,0.0477376,0.119192,0,0.933,0.0477376
Kepler-239 b,,0.101225,,,0.0177874
Kepler-651 b,,0.146649,0,0.92,0.0181548
Kepler-80 f,,0.017386,0,0.72,0.00609283
Kepler-1217 b,,0.0320163,0,1.06,0.0147338
Kepler-895 b,,0.0337283,0,0.65,0.0115145
Kepler-628 b,,0.121444,0,1,0.243389
Kepler-408 b,0.000699655,0.0366405,,1.08,0.000699655
Kepler-174 b,,0.113583,,,0.014454
Kepler-440 b,,0.353207,0,0.575,0.0136945
Kepler-403 d,,0,0,0,0.00991268
K2-6 b,,0.19095,,0.97,0.0213284
Kepler-224 d,,0.0988375,,,0.0174811
Kepler-389 c,,0.116434,,,0.0107805
Kepler-674 b,,0.0282874,0,0.6,0.0125233
Kepler-1047 c,,0.0435026,0,1.08,0.00277643
Kepler-1247 b,,0.106621,0,0.86,0.0178026
Kepler-1210 b,,0.0771394,0,0.94,0.0125983
Kepler-254 c,,0.104915,,,0.0160511
Kepler-236 c,,0.162691,,,0.0147725
WASP-25 b,0.578118,0.0473714,0,1,0.57847
Kepler-186 d,,0.0860831,0.03,0.478,0.00934866
Kepler-1646 b,,0.0330793,0,0.24,0.00609283
HATS-11 b,0.846543,0.0461455,0,1,0.846665
HD 24040 b,4.02189,4.92406,0.04,1.18,4.02189
Kepler-359 c,,0.292189,,,0.0607789
Kepler-211 c,,0.0649112,,,0.00711292
Kepler-967 b,,0.103279,0,0.84,0.0180364
Kepler-1574 b,,0.0726189,0,1.06,0.00709482
Kepler-1157 b,,0.0483728,0,0.76,0.00392895
Kepler-549 b,,0.230006,0,0.88,0.020474
Kepler-1510 b,,0.399998,0,1.19,0.0340314
HD 59686 A b,6.91979,1.08598,0.05,1.9,6.91979
Kepler-1002 b,,0.0556094,0,1.22,0.0126737
Kepler-294 c,,0.0690438,,,0.0223552
Kepler-263 c,,0.256083,,,0.019315
Kepler-349 b,,0.0641159,,,0.0139923
Kepler-1563 b,,0.0445351,0,1,0.00105753
Kepler-1611 b,,0.0573666,0,0.94,0.00136198
Kepler-1284 b,,0.0140554,0,0.84,0.00571923
HD 200964 b,1.94873,1.64347,0.04,1.57,1.94873
Kepler-706 b,,0.223617,0,0.87,1
HD 147018 b,2.12711,0.238855,0.4686,0.927,2.12711
HD 218566 b,0.212872,0.687282,0.3,0.85,0.212872
HD 45364 b,0.187149,0.68156,0.1684,0.82,0.187149
Kepler-1177 b,,0.436075,0,0.98,0.014034
Kepler-1364 b,,0.125617,0,1.49,0.0160703
Kepler-653 b,,0.118258,0,1.02,0.0143786
Kepler-553 b,,0.0482066,0,0.92,0.0707577
Kepler-361 b,,0.081426,,,0.010538
Kepler-318 c,,0.101523,,,0.0419521
WASP-140 b,2.4185,0.0323373,0.047,0.9,2.43513
Kepler-372 b,,0.0705863,,,0.00850717
Kepler-197 e,,0.168262,,,0.00208313
HD 141937 b,9.4752,1.50087,0.41,1.048,9.4752
K2-11 b,,0.25272,0,1.35,1
Kepler-405 c,,0.187804,,,0.071727
Kepler-104 d,,0.271796,,,0.0392746
Kepler-702 b,,0.0907551,0,0.9,0.531485
Kepler-26 d,,0.0454914,,,0.00371234
Kepler-159 b,,0.0916828,,,0.0183139
HD 156668 b,0.0130582,0.0499846,0,0.772,0.0130582
MOA-2009-BLG-387L b,,1.76808,,0.19,2.6
Kepler-1045 b,,0.165053,0,0.86,0.0220818
Kepler-905 b,,0.0568739,0,0.95,0.00965491
Kepler-763 b,,0.0208123,0,0.84,0.00590412
Kepler-1376 b,,0.059158,0,0.98,0.00351465
Kepler-32 f,,0.0130732,0,0.54,0.00143611
WASP-103 b,1.48481,0.0198682,0,1.22,1.48791
Kepler-990 c,,0.0131638,0,1.05,0.0124263
WASP-131 b,0.272434,0.0608315,0,1.06,0.273475
Kepler-221 e,,0.136253,,,0.0212781
Kepler-1028 b,,0.0349411,0,0.9,0.00796813
Kepler-256 c,,0.0441473,,,0.0160511
GJ 649 b,0.325341,1.13179,0.3,0.54,0.325341
Kepler-1333 b,,0.439185,0,0.94,0.0238504
Kepler-276 b,,0.114376,,,0.0247188
